

央视频道,#genre#
928,http://171.213.129.138:1880/rtp/239.93.1.126:5140
929,http://171.213.129.138:1880/rtp/239.93.1.127:5140
收视导视高清,http://171.213.129.138:1880/rtp/239.93.1.39:5140
家政频道高清,http://171.213.129.138:1880/rtp/239.93.42.48:5140
CETV-2,http://171.213.129.138:1880/rtp/239.93.0.113:5140
CETV-4,http://171.213.129.138:1880/rtp/239.93.0.50:5140
经典电影,http://171.213.129.138:1880/rtp/239.93.0.57:9024
华语影院,http://171.213.129.138:1880/rtp/239.93.0.138:5140
星光院线,http://171.213.129.138:1880/rtp/239.93.0.139:5140
全球大片,http://171.213.129.138:1880/rtp/239.93.0.105:5140
热播剧场,http://171.213.129.138:1880/rtp/239.93.0.56:9020
热门剧场,http://171.213.129.138:1880/rtp/239.93.0.140:5140
港剧风云,http://171.213.129.138:1880/rtp/239.93.0.143:5140
谍战剧场,http://171.213.129.138:1880/rtp/239.93.0.95:5140
戏曲精选,http://171.213.129.138:1880/rtp/239.93.0.144:5140
戏曲,http://171.213.129.138:1880/rtp/239.93.0.217:9208
传奇,http://171.213.129.138:1880/rtp/239.93.0.235:1282
导视,http://171.213.129.138:1880/rtp/239.93.0.129:5140
收视指南,http://171.213.129.138:1880/rtp/239.93.0.195:8012
资讯新干线,http://171.213.129.138:1880/rtp/239.93.0.236:1283
蓉城先锋,http://171.213.129.138:1880/rtp/239.93.0.91:2101
星空精选高清,http://171.213.129.138:1880/rtp/239.93.1.171:5140
精彩推荐,http://171.213.129.138:1880/rtp/239.93.1.5:5140
直播室1,http://171.213.129.138:1880/rtp/239.93.1.180:5140
直播室2,http://171.213.129.138:1880/rtp/239.93.1.181:5140
直播室3,http://171.213.129.138:1880/rtp/239.93.1.182:5140
直播室4,http://171.213.129.138:1880/rtp/239.93.1.183:5140
直播室5,http://171.213.129.138:1880/rtp/239.93.1.184:5140
直播室6,http://171.213.129.138:1880/rtp/239.93.1.185:5140
